 6408.65       .02           .0866658 
 6424.88       .0325         .0533328 
 6432.97       .03           .0399996 
 6434.57       .01           .0399996 
 6447.93       .0425         .0633327 
 6454.14       .05           .0566661 
 6457.11       .03           .0633327 
 6458.85       .115          8.133252E-02 
 6459.9        .065          .1816649 
 6461.9        .0775         .066666 
 6463.49       .0725         .0599994 
 6464.42       .11           .0633327 
 6466.24       .095          5.566611E-02 
 6466.7        .06           5.599944E-02 
 6467.75       .075          .1589984 
 6469.58       .125          .1583318 
 6472.5        .23           .0633327 
 6473.18       .1975         7.233261E-02 
 6474.12       .04           6.799932E-02 
 6475.14       .455          7.566591E-02 
 6475.81       .45           6.766599E-02 
 6477.11       .0775         .195998 
 6479.22       .1225         .1119989 
 6480.07       .3625         5.866608E-02 
 6480.98       .025          6.166605E-02 
 6481.68       .0525         6.599934E-02 
 6483.24       .37           6.066606E-02 
 6483.86       .31           8.499915E-02 
 6484.64       .0825         7.433259E-02 
 6485.56       .0725         8.533248E-02 
 6486.78       .155          6.166605E-02 
 6487.54       .025          .0633327 
 6488.04       .05           5.299947E-02 
 6489.13       .1075         5.499945E-02 
 6490.79       .375          6.099939E-02 
 6492.92       .2725         .0766659 
 6493.24       .05           .0433329 
 6494.39       .0625         5.499945E-02 
 6495.86       .34           6.733266E-02 
 6497.56       .13           7.266594E-02 
 6502.65       .0175         .0699993 
 6503.62       .07           3.533298E-02 
 6504.22       .115          4.533288E-02 
 6507.67       .07           4.466622E-02 
 6508.59       .245          4.566621E-02 
 6512.01       .1825         3.899961E-02 
 6512.27       .145          .0399996 
 6513.64       .045          .033333 
 6514.32       .11           4.633287E-02 
 6514.74       .53           4.599954E-02 
 6515.86       .21           4.599954E-02 
 6516.57       .85           .08 
 6517.1        .2725         .0433329 
 6518.03       .2225         3.766629E-02 
 6518.74       .0375         9.299908E-02 
 6519.16       .0925         4.599954E-02 
 6519.45       .33           4.966617E-02 
 6521.92       .0475         3.633297E-02 
 6522.21       .075          4.366623E-02 
 6523.327       .042            .045 
 6523.656       .057            .045 
 6523.843       .3            .0699993 
 6526.05       .03           3.066636E-02 
 6527.79       .0275         .0466662 
 6530.598       .0825         .0433329 
 6532.359       .3475         6.533268E-02 
 6534.000       .155          5.833275E-02 
 6534.975       .01           5.299947E-02 
 6535.02       .015          2.433309E-02 
 6536.720       .1125         5.199948E-02 
 6542.313      .1625         6.566601E-02 
 6543.907      .515          6.233271E-02 
 6545.781       .0775         4.833285E-02 
 6547.705       .2175         5.866608E-02 
 6548.622      .3775         0.059 
 6549.13       .0375         3.799962E-02 
 6552.035       .0507         .035 
 6552.629      .45           6.466603E-02 
 6553.785       .1525         .0657 
 6557.171       .251         5.833275E-02 
 6558.149       .105          .0633327 
 6560.499      .112              .0466662 
 6561.106       .059          .0566661 
 6563.521       .075             .041 
 6564.051      .0744             .056 
 6564.196      .271            .056
 6565.545          .0330           .045
 6568.806      .1125         .067 
 6570.052       .03           .0299997 
 6570.630       .04           .0633327 
 6572.072      .3375         .0566661 
 6574.847      .489         6.399936E-02 
 6580.786       .1375         .0699993 
 6583.37       .055          .0366663 
 6583.6        .07           .0599994 
 6585.75       .0425         4.966617E-02 
 6586.596       .1825         6.899931E-02 
 6588.59       .03           .0499995 
 6594.361       .0725         5.766609E-02 
 6599.324       9.999999E-02                5.833275E-02 
 6602.4        8.000001E-02                .0766659 
 6605.92       .03           .0633327 
 6612.53       .0625         5.166615E-02 
 6622.94       .0075         .0499995 
 6626.43       .0225         .0599994 
 6628.15       .0175         .0366663 

