26	1	120	3000.451	FE
20	1	9	3000.86	CA
22	1	35	3000.87	TI
24	1	1100	3000.89	CR
26	1	800	3000.948	FE
23	2	260	3001.2	V
26	3	12	3001.62	FE
26	1	60	3001.655	FE
10	2	150	3001.67	NE
26	2	15	3002.64	FE
11	2	550	3004.15	NA
24	1	750	3005.06	CR
17	2	500	3006.06	CL
14	1	50	3006.739	SI
7	2	220	3006.83	N
20	1	10	3006.86	CA
26	3	12	3007.28	FE
26	1	200	3007.282	FE
11	2	750	3007.44	NA
25	1	40	3007.66	MN
26	1	500	3008.14	FE
11	2	750	3009.14	NA
20	1	9	3009.21	CA
11	2	450	3009.48	NA
26	1	120	3009.569	FE
18	3	10	3010.02	AR
25	1	40	3011.16	MN
25	1	40	3011.38	MN
24	1	140	3013.03	CR
14	3	5	3013.09	SI
26	3	15	3013.17	FE
2	1	40	3013.7	HE
24	1	710	3013.71	CR
25	1	40	3014.67	MN
24	1	710	3014.76	CR
23	2	140	3014.82	V
24	1	1400	3014.92	CR
24	1	710	3015.19	CR
21	1	2200	3015.36	SC
11	2	600	3015.4	NA
25	1	60	3016.45	MN
23	2	180	3016.78	V
22	2	120	3017.19	TI
10	2	120	3017.31	NE
11	2	450	3017.34	NA
24	1	2800	3017.57	CR
26	1	60	3017.627	FE
8	3	80	3017.63	O
24	1	430	3018.5	CR
24	1	240	3018.82	CR
26	1	60	3018.983	FE
4	1	60	3019.33	BE
21	1	2700	3019.34	SC
4	1	30	3019.49	BE
4	1	30	3019.53	BE
4	1	20	3019.6	BE
25	2	30	3019.92	MN
14	1	75	3020.004	SI
26	2	60	3020.01	FE
26	1	500	3020.491	FE
26	1	1500	3020.639	FE
24	1	430	3020.67	CR
26	1	600	3021.073	FE
80	1	300	3021.5	HG
80	1	300	3021.5	HG
14	2	20	3021.55	SI
24	1	2800	3021.56	CR
25	1	70	3022.75	MN
8	3	80	3023.45	O
80	1	120	3023.47	HG
80	1	120	3023.476	HG
26	1	500	3024.032	FE
18	3	12	3024.05	AR
24	1	1100	3024.35	CR
20	1	2	3024.94	CA
80	1	30	3025.608	HG
80	1	30	3025.61	HG
26	1	150	3025.638	FE
26	1	500	3025.842	FE
24	2	85	3026.65	CR
10	2	300	3027.02	NE
80	1	50	3027.49	HG
80	1	50	3027.49	HG
20	3	15	3028.59	CA
