# File generated by CMD 2.2 (http://stev.oapd.inaf.it/cmd) on Sun Mar 14 15:55:16 CET 2010
# Basic reference: Marigo et al. (2008, A&A 482, 883) 
# + Bertelli et al. (1994, A&AS, 106, 275) for the Mi>7.0 Msun interval
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# BCs of Carbon stars derive from Loidl et al. (2001)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#	Isochrone	Z = 0.00800		Age = 	3.981e+06 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	C/O	M_hec	period	pmode	logMdot	int_IMF
	6.60	2.5000000000	2.5000	1.6941	4.0839	4.4234	0.535	0.807	1.144	1.227	1.267	1.322	1.445	1.483	1.512	0.4787	0.0000	0.0	1	-15.120	3.2908382416
	6.60	3.0000000000	3.0000	1.9846	4.1347	4.4152	-0.192	0.201	0.676	0.787	0.839	0.910	1.076	1.126	1.165	0.4787	0.0000	0.1	1	-13.516	3.3037204742
	6.60	3.5000000000	3.5000	2.2216	4.1748	4.4058	-0.784	-0.272	0.297	0.429	0.489	0.574	0.770	0.829	0.875	0.4787	0.0000	0.1	1	-13.449	3.3120026588
	6.60	4.0000000000	4.0000	2.4227	4.2082	4.3964	-1.287	-0.660	-0.023	0.126	0.195	0.289	0.508	0.573	0.626	0.4787	0.0000	0.1	1	-13.391	3.3176128864
	6.60	4.5000000000	4.5000	2.5959	4.2366	4.3876	-1.720	-0.990	-0.300	-0.136	-0.061	0.042	0.279	0.350	0.407	0.4787	0.0000	0.1	1	-13.339	3.3215744495
	6.60	5.0000000000	5.0000	2.7509	4.2619	4.3798	-2.107	-1.284	-0.547	-0.372	-0.291	-0.180	0.073	0.149	0.211	0.4787	0.0000	0.1	1	-13.294	3.3244650364
	6.60	6.0000000000	6.0000	3.0198	4.3030	4.3545	-2.780	-1.804	-0.996	-0.801	-0.710	-0.587	-0.308	-0.223	-0.155	0.4787	0.0000	0.1	1	-13.215	3.3282895088
	6.60	7.0000000000	7.0000	3.2470	4.3376	4.3326	-3.348	-2.245	-1.380	-1.169	-1.070	-0.936	-0.637	-0.545	-0.469	0.4787	0.0000	0.1	1	-13.148	3.3306136131
	6.60	8.6408777237	8.6409	3.5552	4.3804	4.2871	-4.118	-2.863	-1.928	-1.700	-1.591	-1.445	-1.120	-1.019	-0.934	0.4787	0.0000	0.1	1	-13.056	3.3328075409
	6.60	9.0000000000	9.0000	3.6160	4.3891	4.2786	-4.270	-2.984	-2.036	-1.804	-1.694	-1.545	-1.216	-1.112	-1.026	0.4787	0.0000	0.1	1	-13.038	3.3331298828
	6.60	12.0000000000	12.0000	4.0363	4.4480	4.2188	-5.321	-3.833	-2.801	-2.543	-2.421	-2.256	-1.893	-1.777	-1.679	0.4787	0.0000	0.1	1	-12.913	3.3347461224
	6.60	15.0000000000	14.9672	4.3547	4.4892	4.1613	-6.117	-4.507	-3.421	-3.146	-3.014	-2.841	-2.455	-2.331	-2.227	0.4787	0.0000	0.1	1	-12.818	3.3354415894
	6.60	16.8837051392	16.8348	4.5145	4.5081	4.1281	-6.516	-4.847	-3.739	-3.456	-3.323	-3.147	-2.755	-2.628	-2.522	0.4787	0.0000	0.1	1	-12.766	3.3356850147
	6.60	20.0000000000	19.9152	4.7518	4.5325	4.0614	-7.110	-5.344	-4.213	-3.924	-3.790	-3.614	-3.217	-3.089	-2.981	0.4787	0.0000	0.2	1	-12.693	3.3359301090
	6.60	23.4366970062	23.2337	4.9452	4.5490	4.0010	-7.593	-5.747	-4.603	-4.311	-4.179	-4.004	-3.607	-3.480	-3.371	0.4787	0.0000	0.2	1	-12.627	3.3360812664
	6.60	29.9083328247	29.2585	5.2494	4.5605	3.8430	-8.353	-6.438	-5.288	-4.994	-4.862	-4.688	-4.291	-4.164	-4.055	0.4787	0.0000	0.2	1	-12.526	3.3362197876
	6.60	30.0000000000	29.3399	5.2533	4.5604	3.8399	-8.363	-6.448	-5.298	-5.005	-4.872	-4.698	-4.301	-4.174	-4.065	0.4787	0.0000	0.2	1	-12.525	3.3362209797
