File created on Friday 20th of July 2012 03:07:09 AM
Name           HD      RA            DEC           Magn
[SC96] Mis 270 0       +17 05 43.2   -36 43 48.0   6.83
HD 65930       65930   +07 59 00.7   -48 22 34.7   6.84
V644 Mon       51480   +06 57 09.4   -10 49 28.1   6.89
FY Vel         72754   +08 32 23.4   -49 36 04.8   6.90
HD 55271       55271   +07 11 20.9   -21 48 11.8   6.91
CK Cir         128293  +14 39 31.7   -68 12 12.2   6.91
HD 206773      206773  +21 42 24.2   +57 44 09.8   6.93
HD 52812       52812   +07 01 33.6   -27 13 22.6   6.94
CV Cir         133738  +15 09 03.3   -61 53 15.3   6.96
V856 Sco       144668  +16 08 34.3   -39 06 18.3   6.98
HD 90490       90490   +10 25 16.2   -58 52 20.9   7.00
HD 85860       85860   +09 54 05.1   -27 59 56.5   7.00
HD 161807      161807  +17 49 24.8   -38 59 01.6   7.01
HD 97535       97535   +11 12 05.5   -71 13 02.8   7.02
V864 Ara       158503  +17 33 11.3   -58 33 27.1   7.03
HD 207232      207232  +21 46 02.8   +50 40 26.9   7.03
HD 175863      175863  +18 53 44.7   +60 01 04.3   7.03
HD 131168      131168  +14 53 22.1   -45 51 20.6   7.05
AB Aur         31293   +04 55 45.8   +30 33 04.3   7.06
HD 63988       63988   +07 49 52.2   -40 54 52.4   7.08
AG Car         94910   +10 56 11.6   -60 27 12.8   7.09
MQ TrA         143448  +16 03 44.5   -60 29 54.5   7.10
V485 Car       84375   +09 41 37.3   -68 30 18.0   7.10
HD 97253       97253   +11 10 42.0   -60 23 04.3   7.11
HD 101915      101915  +11 43 07.7   -72 26 43.9   7.12
V958 Cen       114981  +13 14 40.7   -38 39 05.6   7.12
HD 89884       89884   +10 21 59.4   -18 02 04.1   7.13
HD 94963       94963   +10 56 35.8   -61 42 32.2   7.14
V2139 Cyg      199356  +20 55 23.1   +40 18 00.1   7.16
NN CMa         58011   +07 22 43.3   -26 00 40.8   7.18
LQ CMa         52356   +06 59 44.5   -28 23 59.0   7.21
HD 192445      192445  +20 13 33.0   +36 19 42.2   7.23
HD 125015      125015  +14 18 51.0   -58 41 11.2   7.28
HD 146501      146501  +16 19 02.7   -49 24 22.9   7.29
HD 176386      176386  +19 01 38.9   -36 53 26.6   7.30
HD 116875      116875  +13 28 01.5   -61 03 45.0   7.31
HD 76838       76838   +08 57 07.6   -43 15 22.3   7.31
HD 55135       55135   +07 11 20.8   -10 25 43.8   7.32
HD 93843       93843   +10 48 37.8   -60 13 25.5   7.33
HD 139431      139431  +15 39 45.6   -42 46 02.7   7.34
V3984 Sgr      163868  +17 59 56.4   -33 24 30.0   7.36
V3903 Sgr      165921  +18 09 17.7   -23 59 18.2   7.36
V946 Cen       112999  +13 01 34.9   -60 40 17.0   7.38
