5838.612 0.011 0.06
5842.545 0.013 0.06
5845.489 0.019 0.06
5850.797 0.016 0.06
5851.231 0.011 0.06
5854.840 0.011 0.06
5854.840 0.011 0.06
5859.606 0.041 0.06
5859.659 0.031 0.06
5861.635 0.033 0.06
5864.344 0.016 0.06
5865.431 0.011 0.06
5865.638 0.030 0.06
5865.857 0.020 0.06
5865.953 0.014 0.06
5866.172 0.013 0.06
5867.597 0.039 0.06
5868.759 0.026 0.06
5869.804 0.016 0.06
5870.630 0.067 0.06
5871.167 0.015 0.06
5871.297 0.045 0.06
5872.260 0.012 0.06
5873.298 0.015 0.06
5873.576 0.039 0.06
5873.937 0.019 0.06
5874.635 0.014 0.06
5875.139 0.032 0.06
5875.477 0.026 0.06
5875.589 0.069 0.06
5876.120 0.076 0.06
5876.141 0.036 0.06
5876.356 0.019 0.06
5876.439 0.072 0.06
5877.331 0.030 0.06
5877.557 0.024 0.06
5879.182 0.026 0.06
5879.211 0.012 0.06
5879.395 0.012 0.06
5879.602 0.097 0.06
5879.682 0.038 0.06
5879.732 0.084 0.06
5879.994 0.019 0.06
5880.506 0.024 0.06
5880.731 0.063 0.06
5880.897 0.039 0.06
5880.933 0.059 0.06
5880.954 0.025 0.06
5881.096 0.075 0.06
5881.417 0.017 0.06
5881.726 0.023 0.06
5881.857 0.064 0.06
5881.881 0.059 0.06
5881.979 0.070 0.06
5882.374 0.019 0.06
5882.495 0.042 0.06
5882.786 0.034 0.06
5882.821 0.065 0.06
5883.005 0.080 0.06
5883.089 0.018 0.06
5883.368 0.012 0.06
5883.796 0.044 0.06
5883.901 0.223 0.06
5883.932 0.056 0.06
5884.205 0.064 0.06
5885.506 0.033 0.06
5885.581 0.010 0.06
5885.643 0.054 0.06
5885.978 0.397 0.06
5886.340 0.129 0.06
5886.410 0.062 0.06
5886.685 0.069 0.06
5886.879 0.016 0.06
5887.224 0.335 0.06
5887.561 0.024 0.06
5887.662 0.254 0.06
5887.854 0.042 0.06
5888.709 0.158 0.06
5889.080 0.027 0.06
5889.640 0.294 0.06
5889.859 0.043 0.06
5890.083 0.264 0.06
5890.225 0.056 0.06
5890.322 0.013 0.06
5890.663 0.018 0.06
5890.743 0.026 0.06
5890.899 0.012 0.06
5891.158 0.067 0.06
5891.502 0.111 0.06
5891.659 0.393 0.06
5892.250 0.011 0.06
5892.397 0.272 0.06
5893.044 0.156 0.06
5893.506 0.119 0.06
5893.539 0.032 0.06
5894.390 0.094 0.06
5894.577 0.016 0.06
5894.952 0.089 0.06
5895.012 0.020 0.06
5895.139 0.071 0.06
5896.307 0.015 0.06
5896.422 0.080 0.06
5896.498 0.135 0.06
5896.631 0.010 0.06
5896.836 0.202 0.06
5897.080 0.033 0.06
5897.176 0.015 0.06
5897.459 0.073 0.06
5897.482 0.046 0.06
5897.757 0.037 0.06
5897.934 0.053 0.06
5898.161 0.397 0.06
5898.338 0.022 0.06
5898.417 0.033 0.06
5898.774 0.028 0.06
5898.926 0.011 0.06
5898.988 0.052 0.06
5899.011 0.164 0.06
5899.920 0.226 0.06
5900.040 0.378 0.06
5900.077 0.040 0.06
5900.416 0.022 0.06
5900.472 0.016 0.06
5900.919 0.061 0.06
5901.250 0.082 0.06
5901.467 0.530 0.06
5902.027 0.040 0.06
5902.140 0.144 0.06
5902.268 0.026 0.06
5902.465 0.013 0.06
5902.654 0.015 0.06
5902.809 0.015 0.06
5903.538 0.124 0.06
5903.705 0.039 0.06
5903.849 0.048 0.06
5903.972 0.025 0.06
5904.379 0.015 0.06
5904.823 0.012 0.06
5905.123 0.056 0.06
5905.292 0.086 0.06
5905.374 0.047 0.06
5905.549 0.021 0.06
5906.164 0.016 0.06
5906.306 0.020 0.06
5907.003 0.036 0.06
5907.265 0.091 0.06
5907.362 0.044 0.06
5907.475 0.045 0.06
5907.841 0.130 0.06
5908.208 0.116 0.06
5908.264 0.016 0.06
5908.388 0.017 0.06
5908.580 0.011 0.06
5908.999 0.291 0.06
5909.452 0.036 0.06
5909.996 0.023 0.06
5910.190 0.109 0.06
5910.222 0.019 0.06
5910.265 0.016 0.06
5910.330 0.035 0.06
5910.490 0.039 0.06
5910.615 0.020 0.06
5910.652 0.039 0.06
5910.769 0.203 0.06
5910.913 0.019 0.06
5911.207 0.012 0.06
5911.455 0.017 0.06
5911.875 0.033 0.06
