n°HD  RA_h RA_m RA_s  DEC_d DEC_m DEC_s  Mv
30185  4 42 46.4  -50 28 53  5.31
30197  4 46 16.8  18 44 6  6.01
30202  4 43 44.2  -41 3 53  6.25
30210  4 46 01.7  11 42 20  5.37
30211  4 45 30.1  -3 15 17  4.02
30238  4 45 04.2  -21 17 1  5.72
30262  11 51 41.6  -30 50 6  5.85
30321  4 46 24.1  -2 57 16  6.33
30338  5 0 20.7  81 11 38  5.07
30397  4 45 49.6  -34 0 18  6.86
30422  4 46 25.8  -28 5 15  6.19
30432  4 45 55.4  -39 21 24  6.05
30442  4 52 05.2  63 30 19  5.44
30453  4 49 19.0  32 35 18  5.86
30454  4 49 12.8  31 26 14  5.58
30478  4 44 21.1  -59 43 58  5.27
30479  4 38 21.7  -77 39 22  6.05
30495  4 47 36.3  -16 56 4  5.51
30504  4 49 54.6  37 29 18  4.88
30545  4 48 44.6  3 35 18  6.03
30557  4 51 09.3  48 44 27  5.66
30562  4 48 36.3  -5 40 26  5.78
30603  14 48 23.3  24 22 0  6.14
30605  4 49 44.1  15 54 15  6.08
30606  4 48 32.5  -16 19 46  5.77
30608  4 47 49.6  -30 1 13  6.37
30610  4 44 57.9  -63 13 47  6.46
30612  4 43 03.9  -70 55 52  5.54
30614  4 54 03.0  66 20 34  4.29
30652  4 49 50.4  6 57 41  3.19
30739  4 50 36.7  8 54 1  4.36
30743  4 49 42.2  -13 46 11  6.26
30752  4 53 09.8  52 50 27  6.41
30780  4 51 22.5  18 50 23  5.10
30788  4 48 33.8  -43 58 48  6.72
30792  11 51 51.2  -65 12 22  4.90
30814  4 50 11.6  -16 13 2  5.03
30817  14 49 06.7  37 48 40  6.16
30823  4 52 47.8  42 35 12  5.71
30834  4 52 38.0  36 42 11  4.78
30836  4 51 12.4  5 36 18  3.69
30870  4 51 43.4  9 58 30  6.11
30912  4 52 47.1  27 53 51  5.97
30917  14 49 58.4  28 36 57  5.80
30945  14 49 18.7  46 6 58  5.74
30948  14 50 15.8  23 54 43  5.85
30958  4 55 03.1  55 15 33  5.52
30959  4 52 32.0  14 15 2  4.74
30985  4 50 16.2  -41 19 15  6.07
31012  11 52 10.1  -56 59 16  5.57
31040  14 49 32.3  51 22 29  6.51
31041  14 49 41.3  48 43 14  5.69
31069  4 54 51.3  44 3 39  6.08
31093  4 51 28.2  -34 54 23  5.86
31109  4 52 53.7  -5 27 10  4.39
31111  14 50 29.6  37 16 19  5.48
31134  4 56 07.1  52 52 10  5.75
31139  4 53 22.8  2 30 29  5.33
31203  4 50 55.2  -53 27 41  5.61
31204  4 50 56.3  -53 27 35  6.42
31209  4 53 55.8  1 34 10  6.61
31236  4 54 58.3  19 29 7  6.37
31237  4 54 15.1  2 26 26  3.72
31278  4 57 17.2  53 45 8  4.47
31283  4 54 46.9  11 25 34  5.19
31295  4 54 53.8  10 9 3  4.65
31296  4 54 47.8  7 46 45  5.33
31312  5 2 20.1  74 16 9  6.06
31327  4 56 19.9  36 10 8  6.07
31331  4 54 50.7  0 28 3  5.99
31332  21 24 16.7  -69 44 3  6.41
31362  4 56 15.6  24 35 32  6.37
31373  4 55 50.3  15 2 24  5.81
31398  4 56 59.6  33 9 58  2.69
31411  4 55 58.4  5 23 57  6.50
31414  4 55 06.8  -16 44 26  5.70
31421  4 56 22.3  13 30 52  4.07
31444  4 55 18.6  -16 25 4  5.72
31507  14 51 26.4  59 17 38  5.46
31512  4 56 24.2  -5 10 17  5.51
31517  4 55 30.2  -25 43 40  6.72
31529  4 54 54.8  -39 37 43  6.10
31539  4 57 22.3  17 9 13  5.48
31553  4 57 48.7  23 56 55  5.79
31563  5 4 13.0  73 45 50  6.66
31579  4 59 46.3  53 9 20  6.08
31590  5 4 39.8  74 4 1  5.96
31592  4 58 09.4  25 3 1  5.81
31623  4 57 17.2  -1 4 2  6.23
31647  4 59 15.4  37 53 25  4.94
31662  5 1 35.9  61 4 41  6.03
31675  5 2 50.4  66 49 22  6.19
31726  4 57 44.8  -14 13 53  6.15
31739  4 58 10.8  -2 12 45  6.35
31746  4 54 53.0  -58 32 50  6.12
31754  4 53 30.5  -66 40 32  6.41
31761  5 0 18.3  39 23 41  5.95
31764  4 58 59.4  14 32 34  6.09
31767  4 58 32.9  1 42 51  4.47
31780  5 0 23.2  39 39 18  6.58
31873  14 50 42.3  74 9 20  2.08
31910  5 3 25.1  60 26 32  4.03
31922  11 52 54.6  -33 54 29  4.28
31925  4 59 01.3  -16 22 33  5.66
31964  5 1 58.1  43 49 24  2.99
31975  4 53 05.5  -72 24 27  6.28
31996  4 59 36.5  -14 48 21  7.71
32008  4 59 50.4  -10 15 48  5.38
32029  14 55 58.7  32 18 1  6.12
32039  5 0 32.6  3 36 55  7.03
32040  5 0 33.9  3 36 58  6.66
32045  4 59 55.8  -12 32 15  4.79
32068  5 2 28.7  41 4 33  3.75
32115  5 0 39.8  -2 3 56  6.32
32122  21 25 18.1  -71 47 58  6.09
32145  14 57 03.6  21 33 19  6.49
32147  5 0 49.0  -5 45 12  6.22
32188  5 3 18.6  41 26 30  6.14
32196  5 31 48.0  85 56 19  6.51
32221  21 21 04.3  -4 33 36  5.87
32249  5 1 26.3  -7 10 26  4.81
32254  14 56 23.0  49 37 43  5.63
32263  5 1 50.3  0 43 20  5.92
32273  5 2 00.0  1 36 32  6.24
32301  5 3 05.7  21 35 24  4.64
32309  5 1 25.6  -20 3 7  4.91
32343  5 6 08.5  58 58 21  5.08
32356  5 6 29.7  61 10 12  6.04
32357  5 6 12.2  59 1 16  6.08
32393  5 2 45.5  -4 12 35  5.85
32406  5 4 14.5  30 29 41  6.14
32428  5 4 36.9  32 19 13  6.62
32436  5 2 09.8  -26 16 30  5.02
32440  4 55 11.2  -74 56 13  5.47
32445  5 6 22.0  54 24 21  7.24
32453  5 1 34.5  -39 43 5  6.03
32480  5 4 37.9  27 41 46  6.60
32482  5 4 21.6  21 16 41  6.19
32503  5 2 44.9  -22 47 42  5.75
32515  5 2 22.8  -31 46 17  5.94
32518  5 9 36.7  69 38 22  6.41
32537  5 6 40.6  51 35 52  5.00
32549  5 4 34.1  15 24 15  4.68
32608  5 6 00.9  35 56 11  6.52
32612  5 3 52.0  -14 22 10  6.41
32630  5 6 30.9  41 14 4  3.17
32642  5 5 32.1  19 48 23  6.44
32650  5 12 22.4  73 56 48  5.43
32655  5 6 49.6  43 10 29  6.20
32662  11 53 26.8  -35 4 0  6.17
32667  5 3 53.3  -24 23 16  5.61
32686  5 4 54.5  -3 2 23  6.05
32715  5 9 44.5  64 55 10  6.41
32736  5 5 23.7  1 10 39  6.17
32743  5 2 48.6  -49 9 5  5.38
32772  14 59 36.9  39 15 55  5.64
32781  5 14 35.6  76 28 22  6.37
32813  14 57 35.0  65 55 57  4.60
32820  5 3 54.0  -41 44 42  6.31
32831  5 4 24.4  -35 29 0  4.55
32846  5 4 26.1  -35 42 19  6.34
32879  15 0 52.4  22 2 44  6.38
32887  5 5 27.7  -22 22 16  3.19
32890  5 5 16.2  -26 9 9  5.73
32911  21 21 04.8  7 21 16  5.82
32923  5 7 27.0  18 38 42  5.00
32964  5 6 45.7  -4 39 18  5.12
32977  5 7 48.4  20 25 6  5.30
32990  5 8 06.6  24 15 55  5.50
32991  5 7 55.5  21 42 17  5.89
32996  5 6 36.7  -13 7 19  6.05
33002  14 50 20.4  82 30 43  5.64
33021  5 7 38.3  9 28 19  6.17
33029  15 0 38.7  47 16 40  6.37
33042  5 4 58.0  -49 34 40  5.03
33054  5 7 52.9  8 29 54  5.34
33093  5 7 25.0  -12 29 26  5.97
33111  5 7 51.0  -5 5 11  2.79
33116  5 5 00.6  -54 24 27  6.27
33124  15 2 06.5  25 0 29  4.81
33131  11 53 50.3  0 33 7  6.30
33167  5 10 42.9  46 57 44  5.68
33203  5 10 18.9  37 18 7  6.02
33204  5 9 45.1  28 1 50  6.01
33208  15 1 56.8  40 23 26  3.50
33224  5 8 20.2  -8 39 54  5.78
33254  5 9 19.6  9 49 46  5.43
33256  5 8 43.6  -4 27 22  5.12
33262  5 5 30.6  -57 28 22  4.72
33266  5 13 03.2  61 51 0  6.17
33276  5 9 42.0  15 35 50  4.82
33285  5 2 43.0  -71 18 52  5.31
33296  5 13 31.3  62 41 29  6.50
33328  5 9 08.8  -8 45 15  4.27
33377  5 8 14.8  -35 43 6  6.52
33388  15 1 27.1  60 12 16  5.93
33392  15 3 06.1  35 12 21  5.51
33419  5 10 03.2  0 33 55  6.10
33484  15 3 06.6  44 38 40  6.65
33485  15 3 36.5  34 33 58  6.59
33519  5 0 13.2  -78 18 1  6.29
33541  5 18 13.3  73 16 5  5.74
33554  5 11 41.6  16 2 44  5.18
33555  5 10 58.0  -2 15 14  6.25
33564  5 22 33.5  79 13 52  5.05
33582  15 4 26.7  26 56 51  4.54
33608  5 11 19.2  -2 29 27  5.90
33618  5 15 11.3  59 24 20  6.15
33640  15 3 47.4  47 39 16  4.76
33641  5 13 25.7  38 29 4  4.86
33646  5 11 45.3  1 2 13  5.89
33647  5 11 41.4  0 30 53  6.67
33654  5 14 44.3  53 12 50  6.20
33664  5 11 22.8  -11 50 57  5.68
33667  5 10 44.5  -25 54 34  6.41
33684  5 7 34.0  -63 23 59  5.2
33802  5 12 17.9  -11 52 9  4.45
33833  5 12 48.2  -6 3 26  5.91
33856  5 13 17.5  2 51 40  4.46
33871  21 22 14.8  -16 50 4  4.28
33872  5 11 35.9  -37 23 43  6.57
33875  5 6 09.3  -73 2 16  6.27
33883  5 13 31.6  1 58 5  6.09
33904  5 12 55.9  -16 12 20  3.31
33946  5 13 47.2  0 33 37  6.32
33948  5 13 33.3  -8 8 52  6.37
33949  5 13 13.9  -12 56 29  4.36
33959  5 15 24.4  32 41 16  5.02
33962  15 5 25.8  48 9 4  5.57
33994  15 3 57.8  65 55 11  6.13
34002  11 54 11.5  -57 24 36  6.06
34019  5 17 17.8  53 35 10  6.5
34029  5 16 41.4  45 59 53  0.08
34043  5 14 44.1  5 9 22  5.50
34044  15 6 35.1  36 27 20  6.35
34045  5 13 59.9  -14 36 24  6.21
34053  5 15 27.7  22 17 5  6.27
34078  5 16 18.2  34 18 43  5.96
34083  15 7 18.1  24 52 9  4.93
34085  5 14 32.3  -8 12 6  0.12
34109  5 43 48.7  85 40 5  6.60
34167  5 13 46.5  -35 49 32  6.98
34172  4 58 50.9  -82 28 14  5.85
34180  5 15 18.4  -1 24 33  6.15
34190  15 6 16.7  54 33 23  5.25
34203  5 16 04.1  11 20 29  5.56
34233  5 19 27.8  58 7 2  6.13
34255  5 20 22.6  62 39 13  5.61
34266  5 14 28.8  -35 58 38  5.76
34269  5 18 15.9  42 47 32  5.48
34310  5 15 24.3  -26 56 36  5.07
34317  5 16 41.1  1 56 50  6.42
34320  15 8 23.8  26 18 4  5.67
34332  5 18 40.4  40 27 54  6.18
34334  5 18 10.7  33 22 18  4.54
34335  15 8 35.5  25 6 31  5.81
34347  5 13 53.3  -52 1 52  6.05
34364  5 18 18.9  33 46 2  6.14
34372  11 54 25.8  -37 44 56  6.46
34411  5 19 08.5  40 5 57  4.71
34435  5 15 47.0  -34 55 36  6.66
34447  5 16 48.1  -17 8 30  6.56
34452  5 19 00.0  33 44 54  5.41
34493  15 8 19.5  50 3 18  6.39
34498  5 20 02.3  44 25 32  6.62
34499  5 19 23.6  33 59 8  6.49
34503  5 17 36.4  -6 50 40  3.60
34533  5 20 39.3  46 57 50  6.54
34538  5 17 40.2  -13 31 11  5.50
34557  5 20 14.8  41 5 10  5.52
34559  5 19 16.6  22 5 47  4.94
34578  5 20 00.9  33 57 29  5.03
34579  5 19 14.7  20 8 5  6.08
34587  5 15 38.9  -52 10 55  6.49
34621  11 54 42.5  -25 42 50  5.30
34642  5 17 29.1  -34 53 43  4.83
34649  5 13 45.4  -67 11 7  4.83
34653  5 29 25.7  77 58 39  6.56
34658  5 19 11.2  2 35 45  5.34
34721  5 18 50.4  -18 7 48  5.96
34748  5 19 35.2  -1 24 44  6.34
34751  21 23 00.5  -22 40 8  5.60
34759  5 21 48.4  41 48 16  5.23
34762  5 20 59.3  27 57 26  6.33
34787  5 23 27.8  57 32 40  5.28
34790  5 21 12.7  29 34 12  5.76
34797  5 19 18.3  -18 30 35  6.54
34798  5 19 17.5  -18 31 12  6.36
34810  5 20 56.6  19 48 51  6.18
34816  5 19 34.5  -13 10 36  4.29
34841  11 55 03.1  8 26 38  5.58
34863  5 19 59.1  -12 18 56  5.30
34868  5 19 23.7  -27 22 8  5.99
34880  5 20 26.4  -5 22 0  6.39
34904  5 22 50.3  41 1 46  5.54
34959  5 21 19.3  4 0 43  6.57
34968  5 20 26.9  -21 14 22  4.71
34989  5 21 43.6  8 25 43  5.80
35007  5 21 31.8  0 24 59  5.68
35039  5 21 45.7  0 22 57  4.73
35041  21 22 05.2  19 48 16  4.08
35046  5 20 20.6  -34 41 56  6.34
35072  5 19 22.1  -50 36 22  5.45
35076  5 23 22.9  28 56 12  6.46
35104  5 21 51.0  -13 45 22  6.56
35149  5 22 50.0  3 32 40  5.00
35162  5 21 46.2  -24 46 23  5.06
35162  11 54 59.8  -63 16 44  5.91
35165  5 21 16.9  -34 20 43  6.09
35186  5 24 39.2  37 23 8  4.99
35189  5 23 37.7  16 41 58  6.08
35238  5 24 38.3  31 13 26  6.28
35239  5 24 38.5  31 8 35  5.94
35242  5 23 31.1  5 19 21  6.35
35251  21 22 56.3  -9 19 10  5.99
35263  15 13 31.9  22 59 0  6.30
35281  5 23 18.5  -8 24 57  5.9
35295  5 25 13.0  34 51 19  6.55
35296  5 24 25.4  17 23 0  4.99
35299  5 23 42.3  0 9 35  5.70
35317  5 23 51.4  0 52 2  6.11
35322  21 33 54.4  -82 40 59  6.38
35337  5 23 30.2  -13 55 38  5.25
35369  5 23 56.8  -7 48 29  4.14
35384  15 10 44.1  67 46 53  6.17
35386  5 23 12.0  -26 42 21  6.49
35402  15 13 35.6  38 15 53  6.20
35407  5 24 36.2  2 21 10  6.32
35410  5 24 28.9  0 53 29  5.08
35411  5 24 28.6  -2 23 49  3.36
35438  15 14 06.1  31 47 17  5.99
35439  5 24 44.8  1 50 47  4.95
35468  5 25 07.9  6 20 59  1.64
35482  21 24 20.8  -46 36 54  6.31
35497  5 26 17.5  28 36 27  1.65
35502  15 14 29.2  29 9 51  5.26
35505  5 24 28.4  -16 58 34  5.65
35515  5 23 24.0  -39 40 43  5.71
35519  5 26 54.3  35 27 26  6.15
35520  5 26 48.9  34 23 30  5.94
35521  5 26 51.3  33 15 46  6.15
35528  5 23 39.0  -37 20 12  6.82
35530  15 14 10.3  42 10 17  6.13
35532  5 26 05.7  16 42 1  6.25
35536  5 25 01.6  -10 19 45  5.61
35548  5 25 31.2  0 32 39  6.57
35580  5 22 22.1  -56 8 4  6.11
35583  5 30 10.2  63 4 2  5.42
35588  5 25 47.0  0 31 15  6.16
35600  5 27 08.3  30 12 31  5.74
35620  5 27 38.9  34 28 33  5.07
35621  21 22 53.6  6 48 40  5.16
35640  5 26 02.4  -5 31 6  6.23
35656  5 26 38.8  6 52 9  6.42
35671  5 27 10.1  17 57 44  5.42
35693  5 27 13.8  15 15 28  6.16
35708  5 27 38.1  21 56 13  4.88
35715  5 26 50.2  3 5 44  4.59
35722  15 15 30.2  33 18 53  3.47
35736  5 25 59.8  -19 41 44  5.89
35765  5 24 55.6  -44 13 33  6.08
35770  5 27 45.6  15 52 27  5.50
35798  5 12 25.7  -81 32 30  6.51
35802  5 28 01.6  17 14 20  5.77
35850  5 27 04.8  -11 54 3  6.35
35852  21 24 24.8  -41 0 24  5.77
35860  5 24 46.2  -52 18 59  6.27
35909  5 28 34.8  13 40 44  6.35
35912  5 28 01.6  1 17 54  6.41
35943  5 29 16.5  25 9 2  5.47
35961  11 55 40.1  -28 28 37  5.93
35984  5 29 40.6  29 11 11  6.24
35991  5 27 36.5  -21 22 32  6.07
36040  5 30 48.6  41 27 43  6.00
36041  5 30 45.1  39 49 33  6.37
36058  5 28 56.7  -3 18 27  6.39
36060  5 27 05.3  -40 56 37  5.87
36064  15 14 38.3  67 20 48  5.13
36066  5 32 33.8  57 13 16  6.48
36079  5 28 14.7  -20 45 34  2.84
36082  21 26 26.6  -65 21 58  4.22
36134  5 29 23.6  -3 26 47  5.79
36138  15 18 24.5  20 34 22  5.70
36160  5 30 43.4  22 27 45  6.29
36162  5 30 26.1  15 21 37  5.94
36166  5 29 54.8  1 47 21  5.78
36167  5 29 44.0  -1 5 32  4.71
36174  15 14 51.9  68 56 43  6.51
36187  5 28 15.3  -37 13 50  5.57
36189  5 26 19.3  -58 54 45  5.14
36217  5 30 19.8  4 12 15  6.21
36255  5 29 06.7  -30 7 0  6.75
36267  5 30 47.1  5 56 53  4.20
36285  5 30 20.7  -7 26 5  6.33
36321  11 56 00.9  -17 9 3  5.18
36351  5 31 14.5  3 17 32  5.46
36371  5 32 43.7  32 11 31  4.76
36372  11 55 54.7  -39 41 21  6.13
36381  21 24 09.6  -20 51 7  5.41
36384  5 39 43.7  75 2 38  6.17
36389  5 32 12.8  18 35 40  4.38
36391  21 24 07.9  -22 44 49  6.38
36403  15 19 30.2  32 30 55  6.32
36404  5 33 28.7  42 6 32  6.55
36408  5 32 14.2  17 3 29  5.46
36430  5 31 20.9  -6 42 30  6.22
36473  5 31 07.6  -20 51 49  5.55
36484  5 33 27.5  32 48 4  6.48
36485  5 32 00.5  0 17 4  6.85
36486  5 32 00.4  0 17 57  2.23
36496  5 37 16.2  66 41 46  6.26
36499  5 33 38.0  34 43 33  6.27
36512  5 31 55.8  -7 18 5  4.62
36512  15 20 08.5  29 36 58  5.51
36553  5 30 09.5  -47 4 40  5.46
36570  5 37 15.1  64 9 17  6.15
36576  5 33 31.6  18 32 25  5.69
36584  5 27 00.0  -68 37 22  6.03
36589  5 33 38.8  20 28 27  6.18
36591  5 32 41.3  -1 35 31  5.35
36597  5 31 12.7  -35 28 14  3.87
36643  15 21 06.9  24 57 28  6.39
36646  5 33 07.2  -1 43 6  6.46
36653  5 33 54.3  14 18 20  5.64
36673  5 32 43.8  -17 49 20  2.58
36678  5 36 35.2  54 25 44  5.73
36689  5 29 17.4  -62 18 52  6.59
36695  5 33 31.4  -1 9 22  5.34
36719  5 36 15.9  47 42 55  6.11
36726  15 17 05.9  71 49 26  5.02
36729  15 20 05.2  51 57 31  5.66
36734  5 31 36.1  -45 55 31  5.86
36741  5 33 57.6  1 24 28  6.59
36751  15 20 41.6  44 26 3  6.19
36777  5 34 16.7  3 46 1  5.36
36779  5 34 03.9  -1 2 8  6.22
36780  5 34 04.0  -1 28 14  5.93
36819  5 35 27.1  24 2 22  5.38
36822  5 34 49.2  9 29 22  4.41
36848  5 32 51.3  -38 30 47  5.48
36849  15 21 48.6  32 56 2  5.37
36859  5 35 55.5  27 39 44  6.27
36861  5 35 08.3  9 56 3  3.54
36862  5 35 08.5  9 56 6  5.61
36874  5 33 07.4  -35 8 23  5.78
36876  5 30 15.9  -63 55 40  6.19
36881  5 35 13.4  10 14 24  5.60
36891  5 36 52.4  40 10 56  6.09
36905  6 1 20.2  85 10 56  6.11
36959  5 35 00.9  -6 0 33  5.67
36960  5 35 02.7  -6 0 7  4.78
36965  5 33 52.1  -29 50 56  6.53
36994  5 36 30.2  25 56 22  6.49
37016  5 35 22.5  -4 25 31  6.24
37017  5 35 21.8  -4 29 36  6.56
37018  5 35 23.2  -4 50 18  4.59
37020  5 35 15.9  -5 23 14  6.73
37021  5 35 16.1  -5 23 7  7.96
37022  5 35 16.5  -5 23 23  5.13
37023  5 35 17.3  -5 23 16  6.70
37040  5 35 31.1  -4 21 53  6.38
37041  5 35 22.9  -5 24 58  5.08
37043  5 35 26.0  -5 54 36  2.77
37051  21 24 11.5  -12 52 41  5.49
37055  5 35 35.8  -3 15 10  6.40
37071  15 22 37.4  39 34 53  5.50
37077  5 35 39.5  -4 51 21  5.26
37098  5 37 08.8  26 55 27  5.83
37107  15 23 12.3  30 17 16  5.58
37108  15 23 12.3  30 17 16  6.08
37128  5 36 12.8  -1 12 7  1.70
37138  5 37 45.7  33 33 33  6.33
37147  5 37 03.8  17 2 25  5.54
37150  5 36 15.0  -5 38 53  6.54
37160  5 36 54.3  9 17 26  4.09
37171  5 37 04.4  11 2 6  5.94
37192  5 35 15.4  -33 4 48  5.78
37202  5 37 38.7  21 8 33  3.00
37209  5 36 35.7  -6 3 54  5.72
37226  5 33 44.4  -54 54 8  6.43
37232  5 37 19.3  8 57 7  6.12
37269  5 38 38.1  30 29 33  5.40
37286  5 36 10.3  -28 42 28  6.26
37289  5 42 26.4  65 41 52  5.60
37297  5 32 59.6  -64 13 39  5.34
37303  5 37 27.4  -5 56 18  6.05
37306  5 37 08.8  -11 46 32  6.11
37320  5 38 01.1  7 32 29  5.88
37329  5 38 57.4  26 37 4  6.37
37350  5 33 37.5  -62 29 23  3.76
37356  5 37 53.4  -4 48 49  6.19
37367  5 39 18.4  29 12 55  5.96
37389  15 22 37.3  62 2 50  5.98
37390  15 24 05.1  45 16 16  6.01
37391  15 24 29.4  37 22 38  4.31
37392  15 24 30.9  37 20 52  6.50
37394  5 41 20.3  53 28 52  6.23
37422  15 20 43.7  71 50 2  3.05
37430  5 37 16.5  -27 52 17  6.16
37434  5 36 02.7  -47 18 50  6.11
37438  5 39 44.2  25 53 49  5.18
37439  5 39 27.0  21 45 46  6.34
37443  15 22 38.4  63 20 29  5.79
37462  5 35 02.4  -58 52 16  6.75
37462  11 56 43.9  -47 4 21  6.26
37468  5 38 44.8  -2 36 0  3.81
37479  5 38 47.1  -2 35 39  6.65
37481  5 38 37.8  -6 34 26  5.96
37490  5 39 11.1  4 7 17  4.57
37495  5 37 44.6  -28 41 22  5.31
37501  5 34 57.6  -61 10 33  6.32
37507  5 38 53.1  -7 12 47  4.80
37519  5 40 35.9  31 21 29  6.04
37536  5 40 42.1  31 55 15  6.11
37594  5 39 31.2  -3 33 53  6.00
37601  5 43 01.6  56 34 54  6.05
37602  21 26 15.4  -54 39 38  6.12
37635  5 39 30.8  -9 42 24  6.50
37638  5 44 08.6  61 28 36  6.15
37643  5 39 16.3  -17 50 58  6.38
37646  5 41 21.0  29 29 15  6.43
37704  15 26 17.4  34 20 9  5.46
37711  5 41 17.7  16 32 2  4.86
37717  5 38 43.6  -40 42 27  5.82
37742  5 40 45.5  -1 56 34  2.05
37743  5 40 45.6  -1 56 34  4.21
37744  5 40 37.3  -2 49 30  6.22
37752  5 41 54.6  23 19 35  6.59
37756  5 40 50.6  -1 7 44  4.95
37759  15 24 55.8  58 57 58  3.29
37763  5 31 52.9  -76 20 28  5.19
37784  5 42 03.9  22 39 37  6.36
37788  5 41 05.6  0 20 16  5.93
37795  5 39 38.9  -34 4 27  2.64
37808  5 40 46.0  -10 24 34  6.52
37811  5 39 49.8  -32 37 45  5.45
37853  15 27 38.9  25 6 6  6.02
37892  11 57 03.7  -33 18 55  6.21
37904  5 41 40.3  -2 53 46  6.42
37909  15 27 49.7  29 6 21  3.68
37928  15 26 32.5  54 1 12  6.45
37935  5 36 54.7  -66 33 37  6.31
37967  5 43 19.5  23 12 15  6.21
37971  5 41 41.5  -16 43 32  6.21
37984  5 42 28.6  1 28 29  4.91
37993  5 34 44.7  -73 44 29  5.78
38054  5 42 14.3  -17 31 49  6.15
38056  5 41 27.0  -33 24 2  6.34
38089  5 42 53.8  -6 47 46  6.02
38090  5 42 13.9  -22 22 25  5.87
38091  5 46 30.4  56 6 56  5.94
38099  5 43 09.3  -1 36 47  6.31
38104  5 45 54.0  49 49 35  5.47
38138  5 42 11.6  -30 32 8  6.19
38170  5 42 15.1  -34 40 4  5.29
38189  5 45 49.5  40 30 26  6.58
38206  5 43 21.6  -18 33 27  5.73
38213  15 28 44.5  47 12 5  6.15
38245  15 27 40.8  62 16 32  6.50
38265  15 27 51.4  60 40 13  5.90
38284  5 49 04.9  62 48 29  6.13
38307  5 45 39.4  20 41 42  6.95
38309  5 45 01.9  4 0 29  6.09
38338  15 28 56.8  55 11 42  6.43
38341  15 30 22.7  31 17 10  6.46
38358  5 47 14.7  42 31 36  6.29
38382  5 44 28.4  -20 7 35  6.34
38383  15 30 27.9  36 48 15  6.37
38385  5 43 30.2  -39 24 25  6.25
38392  5 44 26.5  -22 25 18  6.15
38393  5 44 27.8  -22 26 54  3.60
38421  21 24 24.6  10 10 27  6.35
38431  21 24 51.7  -3 23 54  6.36
38458  5 43 41.1  -45 49 59  6.39
38478  5 46 45.5  15 49 21  6.00
38481  15 30 55.8  40 49 59  5.02
38495  5 46 02.8  -4 16 6  6.34
38524  15 29 21.2  62 5 59  6.38
38525  15 31 22.4  36 36 59  6.38
38527  5 46 52.1  9 31 20  5.79
38529  5 46 35.0  1 10 5  5.95
38545  5 47 13.2  14 29 18  5.72
38558  5 47 26.2  17 43 45  5.49
38602  5 35 36.3  -78 49 15  6.05
38618  5 50 34.0  56 55 8  6.54
38622  5 47 42.9  13 53 59  5.29
38629  15 31 47.0  40 53 58  5.02
38645  5 52 55.5  68 28 17  6.20
38656  5 49 10.5  39 10 52  4.52
38666  5 45 59.9  -32 18 23  5.17
38670  5 48 22.4  20 52 10  6.07
38678  5 46 57.3  -14 49 19  3.55
38710  5 48 00.2  6 27 15  5.27
38713  5 47 07.6  -16 14 16  6.17
38735  5 47 26.7  -10 31 59  6.03
38749  15 32 55.8  31 21 33  4.14
38751  5 49 01.0  24 34 3  4.86
38751  21 25 13.1  -9 44 55  5.70
38765  5 50 56.4  51 30 53  6.29
38771  5 47 45.4  -9 40 11  2.06
38804  5 47 04.7  -28 38 21  6.22
38812  21 28 44.9  -69 30 19  5.34
38831  5 52 17.4  58 57 51  6.14
38842  11 57 40.1  -62 26 56  5.57
38852  15 30 55.7  64 12 31  5.79
38858  5 48 34.9  -4 5 41  5.97
38871  5 46 27.4  -46 35 50  5.31
38885  5 47 18.6  -35 40 29  6.32
38899  5 49 32.9  12 39 4  4.91
38944  5 51 02.4  37 18 20  4.74
39003  5 51 29.4  39 8 55  3.97
39004  5 50 58.1  27 58 4  5.56
39006  15 34 41.3  26 42 53  2.23
39007  5 50 02.6  9 52 16  5.80
39014  5 44 46.4  -65 44 8  4.35
39019  5 50 28.9  14 18 20  5.52
39040  5 47 58.1  -40 39 9  6.61
39045  5 51 25.7  32 7 30  6.25
39051  5 50 13.1  4 25 24  5.97
39060  5 47 17.1  -51 3 59  3.85
39070  5 49 36.5  -14 29 1  5.49
39091  5 37 09.8  -80 28 9  5.65
39110  5 47 13.0  -54 21 39  6.18
39118  5 50 30.0  2 1 28  5.98
39153  15 35 15.0  39 0 36  5.11
39182  5 52 39.5  39 34 28  6.45
39190  5 49 53.5  -22 58 18  5.87
39220  5 54 57.8  59 53 18  5.20
39225  5 52 40.1  33 55 3  5.98
39261  21 25 17.0  -3 33 24  5.49
39283  5 54 50.8  55 42 25  4.99
39284  15 35 49.3  38 22 26  6.42
39286  5 52 23.4  19 52 5  6.06
39291  5 51 22.0  -7 31 5  5.35
39312  5 49 34.1  -44 52 31  6.38
39317  5 52 22.3  14 10 18  5.59
39357  5 53 19.6  27 36 44  4.58
39357  15 35 16.3  53 55 19  5.97
39364  5 51 19.3  -20 52 45  3.81
39385  5 51 28.6  -22 55 34  6.17
39389  15 36 53.4  29 59 28  6.52
39400  5 52 26.4  1 51 18  4.78
39417  5 53 19.1  20 17 57  6.71
39421  5 52 07.6  -9 2 29  5.97
39425  5 50 57.6  -35 46 6  3.12
39429  5 57 35.0  66 5 46  6.25
39478  15 36 04.1  52 4 11  6.74
39492  21 26 22.9  -37 49 46  5.63
39493  15 35 57.1  54 37 50  5.74
39523  5 49 49.7  -56 10 0  4.51
39543  5 51 59.5  -29 26 55  6.45
