n°HD  RA_h RA_m RA_s  DEC_d DEC_m DEC_s  Mv
1980  11 44 13.2  25 13 6  6.02
1982  11 31 15.0  -61 16 42  6.38
2011  0 24 47.5  61 49 52  5.40
2012  21 9 32.0  68 29 25  7.33
2023  0 24 29.7  -2 13 9  6.07
2054  0 25 06.4  53 2 49  5.74
2109  21 12 56.2  30 13 37  3.20
2114  0 25 24.2  1 56 23  5.77
2151  0 25 45.1  -77 15 15  2.80
2191  11 31 47.6  -20 46 36  6.24
2214  21 11 48.2  59 59 11  5.64
2224  11 46 03.0  47 46 46  3.71
2240  21 13 26.3  36 38 1  6.05
2261  0 26 17.0  -42 18 22  2.39
2262  0 26 12.2  -43 40 48  3.94
2273  0 26 37.4  0 2 59  6.19
2314  21 14 10.3  29 54 4  6.17
2328  11 46 55.6  55 37 42  5.27
2363  0 27 14.7  -25 32 50  5.98
2411  0 28 02.9  17 53 35  5.06
2421  0 28 13.7  44 23 40  5.17
2429  0 27 55.7  -33 0 26  4.81
2436  0 28 12.7  16 26 42  6.06
2444  21 14 47.5  38 2 44  3.72
2451  21 3 10.2  -27 43 55  6.25
2454  0 28 20.1  10 11 23  6.04
2475  0 28 21.1  -20 20 6  6.43
2490  0 28 26.4  -39 54 54  5.43
2507  0 28 56.6  36 54 0  6.26
2509  11 47 59.1  20 13 8  4.53
2529  0 28 43.1  -50 31 58  6.26
2582  21 13 42.6  64 24 14  6.39
2589  0 30 55.0  77 1 10  6.21
2590  11 48 38.7  14 17 3  5.88
2612  11 31 46.1  -59 26 32  5.13
2622  11 31 48.8  -59 30 57  5.15
2626  0 30 19.9  59 58 38  5.94
2628  0 30 07.3  29 45 6  5.23
2630  0 29 51.9  -14 51 51  6.14
2632  0 29 48.9  -32 7 0  6.57
2637  0 30 02.4  -3 57 26  5.72
2647  11 49 03.6  14 34 19  2.14
2654  21 15 36.8  47 58 25  6.46
2660  11 49 14.9  16 14 34  6.04
2662  21 8 47.9  -76 12 45  6.58
2696  0 30 22.7  -23 47 16  5.19
2713  11 49 41.7  34 55 54  5.70
2720  21 16 29.6  42 15 5  6.43
2724  0 30 27.8  -40 56 22  6.19
2726  0 30 26.1  -48 12 54  5.69
2729  0 31 25.3  66 31 10  6.18
2767  0 31 25.6  33 34 54  5.87
2772  0 31 46.4  54 31 20  4.73
2774  0 31 41.2  52 50 22  5.60
2834  0 31 25.0  -48 48 13  4.77
2850  21 17 25.0  39 23 41  4.23
2861  11 32 16.1  -29 15 48  5.81
2862  21 17 23.2  42 41 0  6.19
2871  11 32 16.3  -29 15 40  5.64
2884  0 31 32.7  -62 57 29  4.37
2885  0 31 33.6  -62 57 57  4.54
2888  0 32 26.8  43 29 41  6.70
2904  0 33 19.3  70 58 54  6.42
2904  21 17 55.1  34 53 49  4.43
2905  0 33 00.0  62 55 54  4.16
2910  0 32 35.5  20 17 40  5.38
2910  11 50 55.3  12 16 44  6.35
2913  0 32 23.8  6 57 20  5.67
2923  21 17 02.0  53 59 51  6.13
2924  0 32 34.5  27 34 50  6.67
2942  0 32 49.1  28 16 49  6.30
2942  11 51 09.4  33 22 30  6.27
2952  0 33 10.4  54 53 42  5.93
2987  21 17 14.3  55 47 53  5.98
3003  0 32 43.8  -63 1 52  5.09
3025  21 17 18.8  58 36 42  6.42
3038  0 34 24.9  66 45 1  6.48
3059  0 33 41.1  -29 33 30  5.55
3064  21 18 27.2  43 56 45  5.00
3071  11 32 23.3  -26 44 48  6.16
3095  11 52 58.8  37 43 7  6.45
3096  21 18 55.3  41 2 27  6.15
3112  0 33 23.3  -71 15 58  6.13
3156  21 19 22.2  38 14 15  5.83
3158  0 34 27.8  -52 22 23  5.57
3166  0 34 55.3  13 22 16  6.40
3196  0 35 14.9  -3 35 34  5.20
3206  21 20 14.0  22 1 35  6.29
3229  0 35 32.8  0 30 20  5.93
3240  0 36 08.3  54 10 7  5.08
3245  21 19 28.8  49 30 37  5.76
3268  0 35 54.7  13 12 24  6.41
3280  21 18 34.8  62 35 8  2.44
3283  0 36 27.3  60 19 34  5.79
3287  11 53 49.8  53 41 41  2.44
3302  0 35 41.1  -48 0 3  5.51
3303  0 35 33.4  -54 49 19  6.06
3322  0 36 20.0  27 15 17  6.50
3325  0 36 03.0  -14 58 25  6.45
3326  0 36 06.9  -22 50 33  6.06
3338  21 19 15.8  58 37 25  5.66
3344  21 21 04.4  23 51 21  5.57
3346  0 36 46.6  44 29 19  5.13
3358  21 20 50.1  32 27 10  5.68
3360  0 36 58.3  53 53 49  3.66
3369  0 36 52.9  33 43 10  4.36
3379  0 36 47.3  15 13 54  5.89
3399  21 15 42.2  77 0 44  5.95
3401  21 2 59.6  0 55 29  6.50
