V I	3001.9
V II	3001.93
FeII	3002.09
GdII	3002.2
FeII	3002.33
V I	3002.44
NiI	3002.49
V I	3002.65
FeII	3002.65
PdI	3002.66
GdII	3002.71
TiI	3002.73
GdII	3002.86
FeIII	3002.99
ArII	3003
FeI	3003.03
FeIII	3003.28
TiII	3003.37
V II	3003.46
GdII	3003.58
NiI	3003.63
ZrII	3003.73
CrII	3003.92
FeIII	3004.11
FeI	3004.12
FeII	3004.25
O III	3004.35
ClII	3004.39
CrII	3004.47
FeI	3004.48
FeIII	3004.49
FeI	3004.62
LaII	3004.68
V I	3004.82
CrI	3005.06
GdII	3005.09
ArIII	3005.1
Y I	3005.26
FeI	3005.3
ZrI	3005.36
ZrI	3005.5
O II	3005.62
CoI	3005.77
V II	3005.81
Y II	3006
O II	3006.04
ClII	3006.05
FeIII	3006.12
V I	3006.24
V I	3006.35
V II	3006.5
O II	3006.82
CaI	3006.86
N II	3006.86
V I	3006.9
FeIII	3006.95
ClII	3006.98
V II	3007.04
NaII	3007.07
O II	3007.08
FeI	3007.15
FeIII	3007.2
FeI	3007.28
V II	3007.3
LaII	3007.32
NaII	3007.44
TiI	3007.49
MnI	3007.66
O II	3007.74
FeI	3007.75
FeIII	3007.8
NdII	3007.98
ZrII	3008.13
FeI	3008.14
MnI	3008.27
O II	3008.28
TiII	3008.32
TiIII	3008.4
FeIII	3008.51
V II	3008.51
V II	3008.61
CrII	3008.67
CeII	3008.79
O III	3008.79
RhII	3009
FeI	3009.1
SnI	3009.14
NaII	3009.14
CaI	3009.21
GdII	3009.37
FeI	3009.57
GdII	3009.65
ZrII	3009.85
FeIII	3010
GdII	3010.13
FeII	3010.22
ZrII	3010.28
TiI	3010.42
W II	3010.76
CuI	3010.84
GdII	3010.9
FeIII	3011.06
MnI	3011.16
HfII	3011.24
MnI	3011.38
CrII	3011.42
FeI	3011.48
ZrI	3011.73
NiI	3012
CrII	3012.01
V II	3012.02
GdII	3012.19
CrII	3012.34
FeII	3012.59
FeIII	3012.85
HfII	3012.9
CrI	3013.03
V II	3013.1
FeIII	3013.13
ZrII	3013.32
O II	3013.37
FeII	3013.38
CoI	3013.59
ZrII	3013.66
CrI	3013.71
FeII	3013.8
FeI	3014.12
NdII	3014.17
FeI	3014.18
V I	3014.37
ZrI	3014.44
ArII	3014.49
MnI	3014.67
CrI	3014.76
V II	3014.82
CrI	3014.92
CrI	3015.19
FeIII	3015.23
TmII	3015.3
ScI	3015.36
NaII	3015.4
CrII	3015.51
ZrII	3015.67
CoI	3015.69
ZrII	3015.86
FeI	3015.91
V II	3015.98
V II	3016.14
ArIV	3016.15
V I	3016.16
FeI	3016.19
MnI	3016.45
V II	3016.78
HfII	3016.94
TiII	3017.19
CeII	3017.2
CoI	3017.25
NeII	3017.34
W I	3017.45
CoI	3017.55
CrI	3017.57
FeI	3017.63
O III	3017.63
CrII	3017.8
ZrII	3018.08
FeI	3018.13
FeI	3018.25
HfI	3018.32
