AgI	3280.68	1000
AgI	3382.89	500
AgI	7687.78	500
AgI	8273.52	1000
AlI	3050.07	9
AlI	3054.69	6
AlI	3057.16	10
AlI	3059.05	4
AlI	3064.3	5
AlI	3066.16	5
AlI	3082.16	10
AlI	3087.02	5
AlI	3092.72	10
AlI	3092.84	6
AlI	3203.39	4
AlI	3439.35	8
AlI	3443.65	10
AlI	3444.87	7
AlI	3452.67	5
AlI	3458.23	8
AlI	3479.27	1
AlI	3479.78	6
AlI	3482.58	5
AlI	3931.97	5
AlI	3935.77	4
AlI	3944.01	10
AlI	3961.52	10
AlI	5557.08	1
AlI	5557.95	1
AlI	6061.11	6
AlI	6695.97	7
AlI	6698.63	6
AlI	7361.59	6
AlI	7362.31	10
AlI	7835.33	9
AlI	7836.15	10
AlI	8065.99	3
AlI	8075.37	4
AlI	8772.88	15
AlI	8773.91	20
AlI	8828.91	1
AlI	8841.26	3
AlI	8912.88	1
AlI	8923.56	2
AlI	10768.39	10
AlI	10782.12	10
AlI	10786.78	10
AlI	10872.47	10
AlI	10891.21	10
AlI	11253.81	10
AlI	11255.69	10
AlI	13123.37	10
AlI	13150.68	10
AlII	2994.26	10
AlII	2995.53	10
AlII	2995.55	10
AlII	2998.16	10
AlII	2998.16	10
AlII	3022.8	10
AlII	3024.1	10
AlII	3024.11	10
AlII	3026.78	10
AlII	3026.78	10
AlII	3041.28	6
AlII	3074.67	6
AlII	3088.52	3
AlII	3135.88	3
AlII	3275.78	4
AlII	3313.34	3
AlII	3313.47	0
AlII	3314.76	10
AlII	3314.88	2
AlII	3314.98	0
AlII	3315.52	10
AlII	3315.61	1
AlII	3351.46	3
AlII	3428.92	6
AlII	3463.63	0
AlII	3516.05	0
AlII	3552	1
AlII	3586.56	10
AlII	3586.71	1
AlII	3586.81	0
AlII	3586.91	4
AlII	3586.94	2
AlII	3587.07	9
AlII	3587.17	0
AlII	3587.2	1
AlII	3587.31	2
AlII	3587.34	3
AlII	3587.45	8
AlII	3597.5	2
AlII	3649.18	1
AlII	3649.23	1
AlII	3651.07	7
AlII	3651.1	5
