04675   2.5  0.0  0.0  6.4 d   3.30
04719   2.0  0.0  0.0  7.5 v   0.74
04783   1.4  2.0  0.0  7.0 v   4.70
04784   6.0  2.4  0.0  5.5 v   5.40
04786   7.6  0.0  0.0  5.0 v  21.00
04793   1.3  1.0  0.0  8.0 d   3.60
04794   4.9  1.4  0.0  5.0 v   6.20
04799   1.4  2.0  0.0  6.5 v   4.80
04800   6.0  2.4  0.0  6.5 v   4.90
04814   2.8  2.6  0.0  5.0 v   7.10
04922   4.0  2.0  0.0  9.0 v   1.30
04964   4.0  2.0  0.0  6.5 v   6.60
05051   6.0  2.4  0.0  7.0 v   4.80
05105   2.0  2.0  0.0  7.0 v   3.50
05117   5.0  1.5  0.0  5.5 v   6.00
05118   2.8  2.6  0.0  5.0 v   6.90
05174   2.0  1.0  0.0  7.0 v   2.30
05175   6.0  2.4  0.0  5.0 v   5.10
05181   6.0  2.4  0.0  7.5 v   4.70
05204   4.0  2.0  0.0  5.5 d  10.00
05218   6.0  2.4  0.0  7.0 v   6.30
05239   6.0  2.4  0.0  5.5 v   4.30
05398   1.1  0.0  0.0  7.0 v   0.90
05555   6.0  2.4  0.0  8.0 v   6.80
05557   1.6  1.2  0.0  7.5 v   1.30
05560   9.6  1.5  0.0  5.0 v  10.00
05580   0.7  1.1  0.0  7.5 v   1.00
05581   1.4  0.7  0.0  8.0 v   0.78
05614   1.6  0.0  0.0  8.5 v   3.70
05615   6.0  2.4  0.0  6.0 v   4.50
05678   0.3  0.9  0.9  9.5 v   1.00
05679   6.0  1.5  0.0  5.0 v   8.00
05680   0.3  0.9  0.9  8.5 v   1.00
05681   0.3  0.9  0.9  8.5 v   1.00
05682   0.3  0.9  0.9  8.5 v   1.00
05683   1.4  2.0  0.0  7.5 v   3.80
05685   6.0  2.4  0.0  5.5 v   5.20
05705   2.0  1.0  0.0  6.0 v   3.20
05707   6.0  2.4  0.0  5.5 v   4.40
05721   2.0  2.0  0.0  6.0 v   3.00
05729   1.8  1.5  0.0  7.0 v   2.20
05730   6.0  2.4  0.0  5.0 v   7.40
05731   5.0  1.5  0.0  6.0 v   8.20
05732   2.8  2.6  0.0  5.5 v   4.30
05846   1.4  2.0  0.0  7.0 v   2.30
05847   6.0  2.4  0.0  6.5 v   4.60
05851   4.0  2.0  0.0  5.5 d  10.00
05907   6.0  2.4  0.0  7.0 v   4.90
05917   5.0  1.5  0.0  5.5 v   4.70
05918   2.8  2.6  0.0  5.0 v   6.80
06019   1.4  2.0  0.0  7.0 v   1.80
06020   6.0  2.4  0.0  5.5 v   4.50
06059   2.0  1.0  0.0  7.0 v   2.30
06061   6.0  2.4  0.0  5.5 v   4.50
06073   3.0  0.0  0.0  6.5 v   0.76
06079   5.0  1.5  0.0  6.0 v   5.20
06080   2.8  2.6  0.0  5.5 v   7.30
06125   6.0  2.4  0.0  7.5 v   6.50
06126   3.0  1.5  0.0  6.5 v   2.80
06127   3.5  0.0  0.0  7.0 v   4.60
06149   6.0  2.4  0.0  6.0 v   4.40
06153   3.0  2.2  0.0  6.0 v  11.00
06154   2.0  2.0  0.0  6.5 v   3.50
06155   8.6  3.0  0.0  5.0 v  16.00
06207   6.0  2.4  0.0  5.5 v   5.10
06212  12.2  3.0  0.0  6.0 v   2.10
06217   1.7  0.0  0.0  7.0 v   1.50
06218   1.3  0.9  0.0  8.0 v   2.70
06235   1.3  1.0  0.0  7.5 v   3.20
06237   4.9  1.4  0.0  7.0 v   5.20
06256   5.0  1.5  0.0  6.0 v   4.70
06257   2.8  2.6  0.0  5.5 v   6.30
06271   6.0  2.4  0.0  7.0 v   6.90
06275   1.6  1.2  0.0  6.5 v   2.10
06305   3.0  1.5  0.0  6.9 d   3.90
06306   6.4  2.0  0.0  7.0 v   5.10
06320   6.0  2.4  0.0  6.5 v   4.90
06323   2.0  1.0  0.0  7.0 v   2.20
06324   6.0  2.4  0.0  5.0 v   4.80
06350   2.0  0.0  0.0  7.0 v   1.80
06392   5.0  1.5  0.0  6.0 v   4.70
06393   2.8  2.6  0.0  5.5 v   7.70
06659   5.0  1.5  0.0  6.5 v   4.20
06660   2.8  2.6  0.0  5.5 v   7.20
06683   6.0  2.4  0.0  7.5 v   6.20
06691   4.0  0.0  0.0  5.5 v   8.00
06708   6.0  2.4  0.0  6.0 v   5.10
06779   8.6  3.0  0.0  3.5 v  21.00
06826   6.0  2.4  0.0  5.5 v   5.30
06829   6.0  2.4  0.0  6.0 v   7.10
06853   6.0  2.4  0.0  5.5 v   5.90
06921   2.0  1.5  0.0  6.0 d   3.50
06965   2.0  1.0  0.0  7.0 v   2.10
06966   6.0  2.4  0.0  5.5 v   5.30
06993   6.0  2.4  0.0  5.5 v   7.70
07003   1.8  1.5  0.0  7.0 v   2.10
07004   6.0  2.4  0.0  5.0 v   6.00
07005   2.0  2.0  0.0  7.0 v   4.50
07009   6.0  2.4  0.0  6.0 v   4.70
07017   2.7  0.0  0.0  6.5 v   5.60
07025   2.0  0.0  0.0  6.8 d   0.31
07032   2.3  0.0  0.0  7.0 v   3.70
07095   6.0  2.4  0.0  8.0 v   4.70
07209   5.0  1.5  0.0  6.0 v   4.10
07210   2.8  2.6  0.0  5.5 v   7.30
07273   6.0  2.4  0.0  7.5 v   6.50
07274   5.0  1.5  0.0  6.0 v   4.50
07275   2.8  2.6  0.0  6.0 v   7.90
07284   6.0  2.4  0.0  7.0 v   5.50
07291   2.0  2.0  0.0  6.0 v   1.90
07297   2.0  2.0  0.0  6.5 v   3.60
07318   4.0  2.0  0.0  5.5 d   5.50
07337   2.0  0.0  0.0  8.0 v   3.00
07338   6.0  2.4  0.0  5.0 v   5.70
07350   6.0  2.4  0.0  6.5 v   4.60
07363   5.0  1.5  0.0  6.0 v   5.10
07364   2.8  2.6  0.0  5.5 v   8.90
07411   1.6  1.2  0.0  6.5 v   2.10
07426   6.0  2.4  0.0  6.5 v   5.60
07433   2.0  1.0  0.0  7.5 v   2.10
07434   6.0  2.4  0.0  5.5 v   4.60
07443   6.0  2.4  0.0  6.5 v   5.90
07477   6.0  2.4  0.0  5.5 v   4.70
07490   5.0  1.5  0.0  6.0 v   4.90
07493   2.8  2.6  0.0  5.5 v   8.20
07529   3.0  1.5  0.0  7.5 v   4.90
07574   5.0  1.5  0.0  6.0 v   4.10
07575   2.8  2.6  0.0  5.5 v   7.60
07578   2.0  2.0  0.0  6.5 d   1.10
07594   6.0  2.4  0.0  6.0 v   4.80
07615   3.0  1.5  0.0  8.0 v   3.20
07616   3.4  0.0  0.0  6.5 v   5.40
07647   1.6  0.6  0.0  8.5 v   1.00
07665   6.0  2.4  0.0  7.0 v   5.40
07686   6.0  2.4  0.0  7.5 v   6.70
07714   5.0  1.5  0.0  5.5 v   4.90
07715   2.8  2.6  0.0  5.5 v   7.60
07718   2.0  2.0  0.0  7.0 v   3.10
07727   2.0  2.0  0.0  5.5 v   3.20
07734   1.1  1.2  0.0  7.0 v   1.20
07735   6.4  2.0  0.0  5.0 v   5.50
07737   6.0  2.4  0.0  6.0 v   4.80
07769   6.0  2.4  0.0  6.5 v   5.20
07816   1.6  1.2  0.0  7.0 v   2.00
07831   6.0  2.4  0.0  7.0 v   6.30
07924   3.0  1.5  0.0  6.9 d   3.90
07946   6.0  1.4  0.0  6.5 v   5.90
08026   5.0  1.5  0.0  6.0 v   6.20
08027   2.8  2.6  0.0  5.5 v   6.80
08063   6.0  1.4  0.0  5.5 v   8.30
08073   6.0  2.4  0.0  6.5 v   5.30
08132   1.5  1.5  0.0  7.0 d   0.90
08133   6.4  2.0  0.0  5.0 v  11.00
08293   5.0  1.5  0.0  6.0 v   5.30
08294   2.8  2.6  0.0  5.5 v   8.60
08295   6.0  2.4  0.0  7.5 v   6.70
08311   4.0  1.0  0.0  7.5 v   3.00
08326   6.0  2.4  0.0  7.0 v   6.00
08343   2.0  1.0  0.0  6.5 v   3.30
08344   6.0  2.4  0.0  5.5 v   4.40
08421   6.0  2.4  0.0  6.0 v   4.80
08458   2.0  1.0  0.0  7.5 v   2.30
08459   6.0  2.4  0.0  6.0 v   4.80
08473   2.0  2.0  0.0  6.0 v   3.00
08482   4.0  2.0  0.0  6.0 v   8.00
08519   5.0  1.5  0.0  6.0 v   4.20
08520   2.8  2.6  0.0  5.5 v   6.20
08597   6.0  2.4  0.0  5.5 v   5.70
08615   6.0  2.4  0.0  7.0 v   6.30
08646   6.0  2.4  0.0  7.5 v   4.50
08688   4.0  2.0  0.0  8.0 v   1.30
08709   0.8  0.9  0.0  5.5 v   1.70
08744   2.0  0.0  0.0  7.0 v   3.10
08746   3.0  0.0  0.0  6.5 v   1.00
08774   3.0  2.0  0.0  6.5 d   2.40
08799   5.0  1.5  0.0  6.0 v   3.60
08800   2.8  2.6  0.0  5.0 v   8.60
08818   0.3  0.9  0.9  7.5 v   2.00
08835   0.3  0.9  0.9  7.5 v   1.00
08836   0.3  0.9  0.9  7.5 v   1.00
